receipt_id,receipt_date,company,product_category,service_name,description,quantity,unit_price_usd,discount_usd,tax_usd,total_usd,status
2025-02-001,2025-02-28,Northstar Software Co.,Cloud Platform,Cloud Hosting,Monthly cloud infrastructure hosting,1,1200.00,0.00,96.00,1296.00,Paid
2025-02-002,2025-02-28,Northstar Software Co.,Cloud Platform,Managed Database,Managed relational database service,1,875.00,0.00,70.00,945.00,Paid
2025-02-003,2025-02-28,Northstar Software Co.,Security,Security Monitoring,Application and infrastructure security monitoring,1,690.00,0.00,55.20,745.20,Paid
2025-02-004,2025-02-28,Northstar Software Co.,Engineering Services,Feature Development,Reserved feature development capacity,1,1750.00,0.00,140.00,1890.00,Paid
2025-02-005,2025-02-28,Blue Harbor Office Supply,Office Supplies,Copy Paper,Bulk cartons of recycled printer paper,1,210.00,0.00,16.80,226.80,Paid
2025-02-006,2025-02-28,Blue Harbor Office Supply,Office Supplies,Printer Toner,High-yield toner cartridge pack,1,470.00,0.00,37.60,507.60,Paid
2025-02-007,2025-02-28,Blue Harbor Office Supply,Furniture,Ergonomic Chair,Adjustable workstation seating,1,710.00,0.00,56.80,766.80,Paid
2025-02-008,2025-02-28,Blue Harbor Office Supply,Breakroom,Coffee Service,Monthly coffee and beverage restock,1,220.00,0.00,17.60,237.60,Paid
2025-02-009,2025-02-28,Summit Industrial Tools,Safety Equipment,Protective Gloves,Cut-resistant shop gloves,1,360.00,0.00,28.80,388.80,Paid
2025-02-010,2025-02-28,Summit Industrial Tools,Power Tools,Cordless Drill Kit,Commercial cordless drill replacement kit,1,870.00,0.00,69.60,939.60,Paid
2025-02-011,2025-02-28,Summit Industrial Tools,Maintenance Supplies,Lubricant Pack,Machine lubricant and cleaning fluids,1,250.00,0.00,20.00,270.00,Paid
2025-02-012,2025-02-28,Summit Industrial Tools,Measurement Tools,Digital Calipers,Precision measurement tool set,1,510.00,40.00,37.60,507.60,Paid
2025-02-013,2025-02-28,Greenfield Catering Group,Catering,Team Lunch Buffet,Catered lunch service for staff meeting,1,630.00,0.00,50.40,680.40,Paid
2025-02-014,2025-02-28,Greenfield Catering Group,Pantry Supplies,Snack Assortment,Monthly pantry snack replenishment,1,335.00,0.00,26.80,361.80,Paid
2025-02-015,2025-02-28,Greenfield Catering Group,Beverages,Sparkling Water Cases,Office beverage stock order,1,190.00,40.00,12.00,162.00,Paid
2025-02-016,2025-02-28,Greenfield Catering Group,Events,Client Reception Service,Food and service for client reception,1,1475.00,0.00,118.00,1593.00,Paid
2025-02-017,2025-02-28,MetroFleet Logistics,Shipping,Ground Freight,Regional ground freight shipment,1,515.00,0.00,41.20,556.20,Paid
2025-02-018,2025-02-28,MetroFleet Logistics,Shipping,Express Delivery,Priority overnight package delivery,1,230.00,40.00,15.20,205.20,Paid
2025-02-019,2025-02-28,MetroFleet Logistics,Fleet Services,Vehicle Maintenance,Scheduled fleet vehicle maintenance,1,900.00,0.00,72.00,972.00,Paid
2025-02-020,2025-02-28,MetroFleet Logistics,Warehousing,Pallet Storage,Monthly warehouse pallet storage,1,670.00,0.00,53.60,723.60,Paid
